I, 2023-03-21 15,30,3,394, [080-exec-2],           Controller, 02f04a39e301, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ls1, Run,2, Overall Query Processing Time,70, Query Planning Time,1, Compile Time,0, Execution time,69,overallNumberOfRequestsIssuedAtCache,13,numberOfSPARQLRequestsIssuedAtCache,1,numberOfTPFRequestsIssuedAtCache,12,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 15,30,4,538, [080-exec-3],           Controller, bdb623951cb3, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ls2, Run,2, Overall Query Processing Time,114, Query Planning Time,88, Compile Time,0, Execution time,26,overallNumberOfRequestsIssuedAtCache,16,numberOfSPARQLRequestsIssuedAtCache,1,numberOfTPFRequestsIssuedAtCache,14,numberOfBRTPFRequestsIssuedAtCache,1
I, 2023-03-21 15,30,8,195, [080-exec-4],           Controller, af196511df30, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ls3, Run,2, Overall Query Processing Time,2573, Query Planning Time,17, Compile Time,0, Execution time,2556,overallNumberOfRequestsIssuedAtCache,703,numberOfSPARQLRequestsIssuedAtCache,2,numberOfTPFRequestsIssuedAtCache,701,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 15,30,9,389, [080-exec-5],           Controller, a1b548c74312, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ls4, Run,2, Overall Query Processing Time,33, Query Planning Time,14, Compile Time,0, Execution time,19,overallNumberOfRequestsIssuedAtCache,10,numberOfSPARQLRequestsIssuedAtCache,0,numberOfTPFRequestsIssuedAtCache,6,numberOfBRTPFRequestsIssuedAtCache,4
I, 2023-03-21 15,30,11,415, [080-exec-6],           Controller, 4b06be31a9a2, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ls5, Run,2, Overall Query Processing Time,1008, Query Planning Time,19, Compile Time,0, Execution time,989,overallNumberOfRequestsIssuedAtCache,229,numberOfSPARQLRequestsIssuedAtCache,60,numberOfTPFRequestsIssuedAtCache,110,numberOfBRTPFRequestsIssuedAtCache,59
I, 2023-03-21 15,30,12,617, [080-exec-7],           Controller, 37d9ce09233f, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ls6, Run,2, Overall Query Processing Time,180, Query Planning Time,12, Compile Time,0, Execution time,168,overallNumberOfRequestsIssuedAtCache,36,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,24,numberOfBRTPFRequestsIssuedAtCache,9
I, 2023-03-21 15,30,14,101, [080-exec-8],           Controller, 1b563ac3b5eb, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ls7, Run,2, Overall Query Processing Time,444, Query Planning Time,11, Compile Time,0, Execution time,433,overallNumberOfRequestsIssuedAtCache,210,numberOfSPARQLRequestsIssuedAtCache,42,numberOfTPFRequestsIssuedAtCache,46,numberOfBRTPFRequestsIssuedAtCache,122
I, 2023-03-21 15,30,15,282, [080-exec-9],           Controller, f7dbdf86ae7b, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd1, Run,3, Overall Query Processing Time,130, Query Planning Time,119, Compile Time,0, Execution time,11,overallNumberOfRequestsIssuedAtCache,7,numberOfSPARQLRequestsIssuedAtCache,2,numberOfTPFRequestsIssuedAtCache,5,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 15,30,16,320, [80-exec-10],           Controller, e920edd2a2f5, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd2, Run,3, Overall Query Processing Time,22, Query Planning Time,12, Compile Time,0, Execution time,10,overallNumberOfRequestsIssuedAtCache,3,numberOfSPARQLRequestsIssuedAtCache,1,numberOfTPFRequestsIssuedAtCache,2,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 15,30,17,381, [080-exec-1],           Controller, 1eef564fd2fb, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd3, Run,3, Overall Query Processing Time,46, Query Planning Time,22, Compile Time,0, Execution time,24,overallNumberOfRequestsIssuedAtCache,26,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,20,numberOfBRTPFRequestsIssuedAtCache,3
