I - 2023-03-21 17:24:47,871 - [      main] -   MemoryReportStream - 66591ab9990a - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld5 - Run: 3 - Query Evaluation Time: 90 - Results: 28
I - 2023-03-21 17:24:48,955 - [      main] -   MemoryReportStream - 0eeecdfe2b81 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld6 - Run: 3 - Query Evaluation Time: 83 - Results: 39
I - 2023-03-21 17:24:50,299 - [      main] -   MemoryReportStream - 2db100771b9a - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld7 - Run: 3 - Query Evaluation Time: 344 - Results: 1216
I - 2023-03-21 17:24:51,555 - [      main] -   MemoryReportStream - d88729a62bee - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld8 - Run: 3 - Query Evaluation Time: 256 - Results: 22
I - 2023-03-21 17:24:52,722 - [      main] -   MemoryReportStream - b00b5502fe31 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls1 - Run: 3 - Query Evaluation Time: 167 - Results: 1159
I - 2023-03-21 17:24:53,836 - [      main] -   MemoryReportStream - ed71b1a52360 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls2 - Run: 3 - Query Evaluation Time: 113 - Results: 333
I - 2023-03-21 17:24:57,884 - [      main] -   MemoryReportStream - d56e754293ed - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls3 - Run: 3 - Query Evaluation Time: 3047 - Results: 9054
I - 2023-03-21 17:24:58,973 - [      main] -   MemoryReportStream - 055d08946391 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls4 - Run: 3 - Query Evaluation Time: 88 - Results: 3
I - 2023-03-21 17:25:01,738 - [      main] -   MemoryReportStream - a75a7d771e4e - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls5 - Run: 3 - Query Evaluation Time: 1765 - Results: 393
I - 2023-03-21 17:25:02,844 - [      main] -   MemoryReportStream - b4acaca513df - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls6 - Run: 3 - Query Evaluation Time: 105 - Results: 28
I - 2023-03-21 17:25:04,397 - [      main] -   MemoryReportStream - e242889c21f4 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls7 - Run: 3 - Query Evaluation Time: 553 - Results: 1620
I - 2023-03-21 17:25:05,553 - [      main] -   MemoryReportStream - 838477d0e02b - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd1 - Run: 4 - Query Evaluation Time: 156 - Results: 90
I - 2023-03-21 17:25:06,610 - [      main] -   MemoryReportStream - a567feb50fd2 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd2 - Run: 4 - Query Evaluation Time: 57 - Results: 1
I - 2023-03-21 17:25:07,690 - [      main] -   MemoryReportStream - 2c7ac29c7b80 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd3 - Run: 4 - Query Evaluation Time: 80 - Results: 2
I - 2023-03-21 17:25:08,797 - [      main] -   MemoryReportStream - a06793aa4484 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd4 - Run: 4 - Query Evaluation Time: 107 - Results: 1
I - 2023-03-21 17:25:09,869 - [      main] -   MemoryReportStream - 4605fa9b2b46 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd5 - Run: 4 - Query Evaluation Time: 72 - Results: 2
I - 2023-03-21 17:25:12,064 - [      main] -   MemoryReportStream - 459683d6037a - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd6 - Run: 4 - Query Evaluation Time: 1195 - Results: 11
I - 2023-03-21 17:25:13,629 - [      main] -   MemoryReportStream - 2b116cc5222e - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd7 - Run: 4 - Query Evaluation Time: 564 - Results: 2
I - 2023-03-21 17:25:15,151 - [      main] -   MemoryReportStream - bbc623c4472b - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld1 - Run: 4 - Query Evaluation Time: 522 - Results: 309
I - 2023-03-21 17:25:16,329 - [      main] -   MemoryReportStream - db5f25e38a6a - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld10 - Run: 4 - Query Evaluation Time: 177 - Results: 3
I - 2023-03-21 17:25:18,470 - [      main] -   MemoryReportStream - b838e499898f - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld11 - Run: 4 - Query Evaluation Time: 1141 - Results: 376
I - 2023-03-21 17:25:19,552 - [      main] -   MemoryReportStream - 3a9f37a6e533 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld2 - Run: 4 - Query Evaluation Time: 82 - Results: 185
I - 2023-03-21 17:25:21,506 - [      main] -   MemoryReportStream - a14b0e6f52cd - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld3 - Run: 4 - Query Evaluation Time: 953 - Results: 162
I - 2023-03-21 17:25:22,783 - [      main] -   MemoryReportStream - 20085eb86b38 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld4 - Run: 4 - Query Evaluation Time: 277 - Results: 50
I - 2023-03-21 17:25:23,857 - [      main] -   MemoryReportStream - f5cca229f0ec - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld5 - Run: 4 - Query Evaluation Time: 74 - Results: 28
