I, 2023-03-21 17,24,13,809, [80-exec-10],           Controller, 5cd4f1bf1b2b, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld7, Run,2, Overall Query Processing Time,281, Query Planning Time,49, Compile Time,0, Execution time,232,overallNumberOfRequestsIssuedAtCache,83,numberOfSPARQLRequestsIssuedAtCache,42,numberOfTPFRequestsIssuedAtCache,0,numberOfBRTPFRequestsIssuedAtCache,41
I, 2023-03-21 17,24,15,98, [080-exec-1],           Controller, e9f1836bbfcf, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld8, Run,2, Overall Query Processing Time,262, Query Planning Time,90, Compile Time,1, Execution time,171,overallNumberOfRequestsIssuedAtCache,319,numberOfSPARQLRequestsIssuedAtCache,10,numberOfTPFRequestsIssuedAtCache,285,numberOfBRTPFRequestsIssuedAtCache,24
I, 2023-03-21 17,24,16,233, [080-exec-2],           Controller, bcad33e0c891, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ls1, Run,2, Overall Query Processing Time,107, Query Planning Time,0, Compile Time,0, Execution time,107,overallNumberOfRequestsIssuedAtCache,13,numberOfSPARQLRequestsIssuedAtCache,1,numberOfTPFRequestsIssuedAtCache,12,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 17,24,17,374, [080-exec-3],           Controller, bdadabff7925, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ls2, Run,2, Overall Query Processing Time,101, Query Planning Time,77, Compile Time,0, Execution time,24,overallNumberOfRequestsIssuedAtCache,17,numberOfSPARQLRequestsIssuedAtCache,2,numberOfTPFRequestsIssuedAtCache,14,numberOfBRTPFRequestsIssuedAtCache,1
I, 2023-03-21 17,24,21,302, [080-exec-4],           Controller, d7247d783200, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ls3, Run,2, Overall Query Processing Time,2865, Query Planning Time,44, Compile Time,1, Execution time,2820,overallNumberOfRequestsIssuedAtCache,5052,numberOfSPARQLRequestsIssuedAtCache,146,numberOfTPFRequestsIssuedAtCache,4634,numberOfBRTPFRequestsIssuedAtCache,272
I, 2023-03-21 17,24,22,553, [080-exec-5],           Controller, 69b05a07fb02, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ls4, Run,2, Overall Query Processing Time,62, Query Planning Time,46, Compile Time,0, Execution time,16,overallNumberOfRequestsIssuedAtCache,11,numberOfSPARQLRequestsIssuedAtCache,0,numberOfTPFRequestsIssuedAtCache,7,numberOfBRTPFRequestsIssuedAtCache,4
I, 2023-03-21 17,24,25,341, [080-exec-6],           Controller, 9c3205983869, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ls5, Run,2, Overall Query Processing Time,1768, Query Planning Time,40, Compile Time,0, Execution time,1728,overallNumberOfRequestsIssuedAtCache,2887,numberOfSPARQLRequestsIssuedAtCache,132,numberOfTPFRequestsIssuedAtCache,2666,numberOfBRTPFRequestsIssuedAtCache,89
I, 2023-03-21 17,24,26,451, [080-exec-7],           Controller, e1cd26a0b5aa, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ls6, Run,2, Overall Query Processing Time,85, Query Planning Time,31, Compile Time,0, Execution time,54,overallNumberOfRequestsIssuedAtCache,61,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,49,numberOfBRTPFRequestsIssuedAtCache,9
I, 2023-03-21 17,24,28,49, [080-exec-8],           Controller, 1995ada19636, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ls7, Run,2, Overall Query Processing Time,560, Query Planning Time,29, Compile Time,1, Execution time,530,overallNumberOfRequestsIssuedAtCache,210,numberOfSPARQLRequestsIssuedAtCache,42,numberOfTPFRequestsIssuedAtCache,46,numberOfBRTPFRequestsIssuedAtCache,122
I, 2023-03-21 17,24,29,274, [080-exec-9],           Controller, fc706f0ec8d6, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd1, Run,3, Overall Query Processing Time,147, Query Planning Time,138, Compile Time,0, Execution time,9,overallNumberOfRequestsIssuedAtCache,8,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,5,numberOfBRTPFRequestsIssuedAtCache,0
